,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,imdbRating,imdbVotes,DVD,BoxOffice,Production,Prod_counts,studio_size,meta_class
1579,Underworld Awakening,2012,R,88,Action,"Måns Mårlind, Björn Stein","Len Wiseman (screenplay), John Hlavin (screenplay), J. Michael Straczynski (screenplay), Allison Burnett (screenplay), Len Wiseman (story), John Hlavin (story), Kevin Grevioux (characters), Len Wiseman (characters), Danny McBride (characters)","Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James","When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.","English, Russian","USA, Canada",Other Win,39.0,6.4,141031,1,62321039.0,Screen Gems,12.0,small,0
1580,Hello I Must Be Going,2012,R,95,Comedy,Todd Louiso,Sarah Koskoff,"Melanie Lynskey, Blythe Danner, John Rubinstein, Sara Chase","Circumstances force a young divorcée to move back in with her parents in suburban Connecticut, where an affair with a younger guy rejuvenates her passion for life",English,USA,Other Win,62.0,6.2,5589,1,83814.0,Oscilloscope Pictures,15.0,small,1
1581,Red Tails,2012,PG-13,125,Action,Anthony Hemingway,"John Ridley (story), John Ridley (screenplay), Aaron McGruder (screenplay), John B. Holway (book)","Terrence Howard, Cuba Gooding Jr., Nate Parker, David Oyelowo","A crew of African American pilots in the Tuskegee training program, having faced segregation while kept mostly on the ground during World War II, are called into duty under the guidance of Col. A.J. Bullard.","English, Italian, German",USA,Other Win,46.0,5.9,32322,1,49500000.0,20th Century Fox,133.0,big,0
1586,That's What She Said,2012,R,84,Comedy,Carrie Preston,Kellie Overbey,"Alia Shawkat, Anne Heche, William Jackson Harper, Miriam Shor","Bebe and DeeDee, best friends with different relationship problems, embark on a New York City misadventure with their new acquaintance, Clementine.",English,USA,Other Win,22.0,3.7,577,1,0.0,Phase 4 Films,18.0,small,0
1587,Simon Killer,2012,Not Rated,101,Drama,Antonio Campos,"Antonio Campos, Antonio Campos (story), Brady Corbet (story), Mati Diop (story)","Brady Corbet, Nicolas Ronchi, Constance Rousseau, Lila Salet","A recent college graduate flees to Paris after a break-up, where his involvement with a prostitute begins to reveal a potentially dark recent past.","English, French","USA, France",Other Win,63.0,6.3,3901,1,21303.0,IFC Films,127.0,big,1
1588,Tim and Eric's Billion Dollar Movie,2012,R,93,Comedy,"Tim Heidecker, Eric Wareheim","Tim Heidecker, Eric Wareheim, Jonathan Krisel (additional writing), Doug Lussenhop (additional writing), Jon Mugar (additional writing)","Bill A. Jones, Jeff Goldblum, Bob Odenkirk, Frank Slaten","Two guys get a billion dollars to make a movie, only to watch their dream run off course. In order to make the money back, they then attempt to revitalize a failing shopping mall.",English,USA,Nomination,40.0,5.4,9149,1,145778.0,Magnolia Pictures,59.0,big,0
1589,Filly Brown,2012,R,80,Drama,"Youssef Delara, Michael D. Olmos",Youssef Delara,"Gina Rodriguez, Khool-Aid Rios, Jenni Rivera, Lou Diamond Phillips",A promising hip-hop rhymer from Los Angeles finds herself in a gray area when a record producer offers her a compromising shot at stardom.,English,USA,Other Win,57.0,5.7,1006,1,2818020.0,Indomina Media Inc.,2.0,small,0
1590,Robot & Frank,2012,PG-13,89,Comedy,Jake Schreier,Christopher Ford (screenplay),"Frank Langella, James Marsden, Liv Tyler, Peter Sarsgaard","In the near future, an ex-jewel thief receives a gift from his son: a robot butler programmed to look after him. But soon the two companions try their luck as a heist team.",English,USA,Other Win,67.0,7.1,60074,1,3200000.0,Samuel Goldwyn Films,29.0,small,1
1591,Keep the Lights On,2012,Not Rated,101,Drama,Ira Sachs,"Ira Sachs, Mauricio Zacharias","Thure Lindhardt, Zachary Booth, Marilyn Neimark, Paprika Steen","In Manhattan, film-maker Erik bonds with closeted lawyer Paul after a fling. As their relationship becomes one fueled by highs, lows, and dysfunctional patterns, Erik struggles to negotiate his own boundaries while being true to himself.","English, Danish",USA,Other Win,79.0,6.4,5072,1,243536.0,Music Box Films,4.0,small,1
1592,The Pact,2012,R,89,Horror,Nicholas McCarthy,Nicholas McCarthy,"Caity Lotz, Kathleen Rose Perkins, Haley Hudson, Sam Ball","As a woman struggles to come to grips with her past in the wake of her mother's death and the disappearance of her sister, an unsettling presence emerges in her childhood home.",English,USA,Nomination,54.0,5.7,22642,1,1408261.0,IFC Films,127.0,big,0
1594,I Am Not a Hipster,2012,Not Rated,90,Drama,Destin Daniel Cretton,Destin Daniel Cretton,"Dominic Bogart, Alvaro Manrique, Tammy Minoff, Lauren Coleman","Based in San Diego's indie music and art scene, exploring what it means to be creative in the face of tragedy.",English,USA,Nomination,53.0,6.7,1410,0,0.0,Independent Pictures,31.0,big,0
1595,Beasts of the Southern Wild,2012,PG-13,93,Adventure,Benh Zeitlin,"Lucy Alibar (screenplay), Benh Zeitlin (screenplay), Lucy Alibar (stage play ""Juicy and Delicious"")","Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes","Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.",English,USA,Oscar Win,86.0,7.3,78362,1,12784397.0,Fox Searchlight,26.0,small,1
1596,Lay the Favorite,2012,R,94,Comedy,Stephen Frears,"D.V. DeVincentis (screenplay), Beth Raymer (memoir)","Rebecca Hall, Joel Murray, Hugo Armstrong, Corbin Bernsen","Ex-private dancer Beth aspires to be a Las Vegas cocktail waitress, when she falls in with Dink, a sports gambler. Sparks fly as she proves to be something of a gambling prodigy--much to the ire of Dink's wife, Tulip.","English, Spanish","USA, UK, France",,38.0,4.8,10782,1,20998.0,Weinstein Co.,1.0,small,0
1597,For Ellen,2012,Not Rated,94,Drama,So Yong Kim,So Yong Kim,"Paul Dano, Peter Roberts, William Roberts, Jon Heder",A struggling musician takes an overnight long-distance drive in order to fight his estranged wife for custody of their young daughter.,English,USA,Other Win,61.0,6.0,1791,1,0.0,Tribeca Film,20.0,small,1
1598,The First Time,2012,PG-13,95,Comedy,Jonathan Kasdan,Jonathan Kasdan,"Britt Robertson, Dylan O'Brien, Craig Roberts, Joshua Malina",A shy senior and a down-to-earth junior fall in love over one weekend.,English,USA,Nomination,55.0,6.8,63668,1,17061.0,Samuel Goldwyn Films,29.0,small,0
1599,Arbitrage,2012,R,107,Drama,Nicholas Jarecki,Nicholas Jarecki,"Richard Gere, Susan Sarandon, Tim Roth, Brit Marling",A troubled hedge fund magnate desperate to complete the sale of his trading empire makes an error that forces him to turn to an unlikely person for help.,English,"USA, Poland",Other Win,73.0,6.6,47714,1,7918283.0,Roadside Attractions,39.0,big,1
1600,The End of Love,2012,Not Rated,89,Drama,Mark Webber,Mark Webber (screenplay),"Isaac Love, Mark Webber, Amanda Seyfried, Jason Ritter","When the mother of his infant son unexpectedly passes away, struggling actor Mark grapples with fatherhood and his inability to grow up. And when he sparks with a single mother, he learns how his choices have real-life consequences.",English,USA,Nomination,56.0,5.9,1611,1,8326.0,Variance Films,12.0,small,0
1601,Wrong,2012,Not Rated,94,Comedy,Quentin Dupieux,Quentin Dupieux (screenplay),"Jack Plotnick, Eric Judor, Alexis Dziena, Steve Little","Dolph Springer wakes up one morning to realize he has lost the love of his life, his dog, Paul. During his quest to get Paul (and his life) back, Dolph radically changes the lives of others -- risking his sanity all the while.",English,"France, USA",Nomination,58.0,6.3,8831,1,28567.0,Drafthouse Films,8.0,small,0
1602,Black Rock,2012,R,83,Horror,Katie Aselton,"Mark Duplass (screenplay), Katie Aselton (story)","Katie Aselton, Lake Bell, Kate Bosworth, Will Bouvier",Three childhood friends set aside their personal issues and reunite for a girls' weekend on a remote island off the coast of Maine. One wrong move turns their weekend getaway into a deadly fight for survival.,English,USA,,46.0,4.7,7814,1,0.0,LD Entertainment,6.0,small,0
1603,Compliance,2012,R,90,Biography,Craig Zobel,Craig Zobel,"Ann Dowd, Matt Servitto, Dreama Walker, Pat Healy","A normal Friday service at a fast food restaurant becomes interrupted by a police officer who claims an employee stole from a customer, but something more sinister is going on.",English,USA,Other Win,68.0,6.4,29296,1,318622.0,Magnolia Pictures,59.0,big,1
1607,An Oversimplification of Her Beauty,2012,TV-MA,84,Animation,Terence Nance,Terence Nance,"Alisa Becher, Jc Cain, Dexter Jones, Namik Minter","An artist's shortsighted film about a failed relationship is reedited into a more collaborative, more inclusive work of art.",English,USA,Other Win,74.0,6.4,584,1,42308.0,Variance Films,12.0,small,1
1608,The Comedy,2012,Not Rated,95,Comedy,Rick Alverson,"Rick Alverson, Robert Donne, Colm O'Leary","Tim Heidecker, Eric Wareheim, Jeffrey Jensen, James Murphy","Indifferent to the notion of inheriting his father's estate, a restless, aging New Yorker passes time with his friends in games of mock sincerity and irreverence.",English,USA,Other Win,46.0,6.5,4422,1,0.0,Tribeca Film,20.0,small,0
1609,28 Hotel Rooms,2012,Not Rated,82,Drama,Matt Ross,Matt Ross,"Chris Messina, Marin Ireland, Robert Deamer, Anne H. Wilson","A novelist and an accountant meet while they are traveling for work, and though they both are in relationships, their one-night stand could become something more.",English,USA,Nomination,50.0,5.8,2834,1,16017.0,Oscilloscope Pictures,15.0,small,0
1610,Safety Not Guaranteed,2012,R,86,Comedy,Colin Trevorrow,Derek Connolly,"Aubrey Plaza, Lauren Carlos, Basil Harris, Mary Lynn Rajskub",Three magazine employees head out on an assignment to interview a guy who placed a classified advertisement seeking a companion for time travel.,English,USA,Other Win,72.0,7.0,113774,1,4007792.0,Film District,3.0,small,1
1611,Liberal Arts,2012,PG-13,97,Comedy,Josh Radnor,Josh Radnor,"Josh Radnor, Elizabeth Olsen, Richard Jenkins, Allison Janney","When 30-something Jesse returns to his alma mater for a professor's retirement party, he falls for Zibby, a college student, and is faced with a powerful attraction that springs up between them.",English,USA,Nomination,55.0,6.7,34476,1,317190.0,IFC Films,127.0,big,0
1612,Nobody Walks,2012,R,83,Drama,Ry Russo-Young,"Lena Dunham, Ry Russo-Young","John Krasinski, Olivia Thirlby, Rosemarie DeWitt, India Ennenga",A Silver Lake family's relaxed dynamic is tested after they take in a young artist so she can complete her art film.,"English, Italian",USA,Nomination,51.0,5.3,4652,1,24995.0,Magnolia Pictures,59.0,big,0
1613,Save the Date,2012,R,97,Comedy,Michael Mohan,"Jeffrey Brown, Michael Mohan, Egan Reich (screenplay)","Lizzy Caplan, Alison Brie, Martin Starr, Geoffrey Arend","Sarah begins to confront her shortcomings after she rejects her boyfriend's hasty proposal and soon finds herself in a rebound romance. Meanwhile, her sister Beth is immersed in the details of her wedding.",English,USA,Other Win,54.0,5.8,6587,1,3755.0,IFC Films,127.0,big,0
1614,Mosquita y Mari,2012,Not Rated,85,Drama,Aurora Guerrero,Aurora Guerrero,"Fenessa Pineda, Venecia Troncoso, Joaquín Garrido, Laura Patalano","After being assigned as study partners, two Chicana high schoolers find a bond that confuses them at times.","Spanish, English",USA,Nomination,66.0,6.2,762,1,6256.0,Wolfe Releasing,7.0,small,1
1615,Red Hook Summer,2012,R,121,Drama,Spike Lee,"Spike Lee (screenplay), James McBride (screenplay)","Limary Agosto, Sumayya Ali, Turron Kofi Alleyne, De'Adre Aziza","A middle-class boy from Atlanta finds his worldview changed as he spends the summer with his deeply religious grandfather in the housing projects of Red Hook, Brooklyn.",English,USA,Nomination,48.0,4.9,1489,1,338803.0,Variance Films,12.0,small,0
1616,Smashed,2012,R,81,Drama,James Ponsoldt,"Susan Burke, James Ponsoldt","Mary Elizabeth Winstead, Aaron Paul, Nick Offerman, Megan Mullally",A married couple whose bond is built on a mutual love of alcohol gets their relationship put to the test when the wife decides to get sober.,English,USA,Nomination,71.0,6.8,15924,1,375981.0,Sony Pictures Classics,43.0,big,1
1617,V/H/S,2012,R,116,Horror,"Matt Bettinelli-Olpin, David Bruckner, Tyler Gillett, Justin Martinez, Glenn McQuaid, Radio Silence, Joe Swanberg, Chad Villella, Ti West, Adam Wingard","Brad Miska (concept), Simon Barrett, David Bruckner, Nicholas Tecosky, Ti West, Glenn McQuaid, Simon Barrett, Radio Silence, Matt Bettinelli-Olpin, Tyler Gillett, Justin Martinez, Chad Villella","Calvin Reeder, Lane Hughes, Kentucker Audley, Adam Wingard","When a group of misfits are hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for.",English,USA,Nomination,55.0,5.8,54540,1,68296.0,Magnolia Pictures,59.0,big,0
1618,John Dies at the End,2012,R,99,Comedy,Don Coscarelli,"Don Coscarelli (written for the screen by), David Wong (based on the story by)","Chase Williamson, Rob Mayes, Paul Giamatti, Clancy Brown","A new street drug that sends its users across time and dimensions has one drawback: some people return no longer human. Can two college drop-outs save humanity from this silent, otherworldly invasion?",English,USA,Other Win,53.0,6.4,34988,1,141307.0,Magnolia Pictures,59.0,big,0
1619,The Sessions,2012,R,95,Biography,Ben Lewin,"Ben Lewin (written for the screen by), Mark O'Brien (article)","John Hawkes, Helen Hunt, William H. Macy, Moon Bloodgood",A man in an iron lung who wishes to lose his virginity contacts a professional sex surrogate with the help of his therapist and priest.,English,USA,Oscar Win,79.0,7.2,40299,1,5997134.0,Fox Searchlight Pictures,23.0,small,1
1620,LUV,2012,R,94,Crime,Sheldon Candis,"Sheldon Candis (screenplay), Justin Wilson (screenplay), Justin Wilson","Michael Rainey Jr., Tracey Heggins, Common, Lonette McKee",An 11-year-old boy gets a crash course in what it means to be a man when he spends a day with the ex-convict uncle he idolizes.,English,USA,Other Win,52.0,5.9,2003,1,151089.0,Indomina Media Inc.,2.0,small,0
1621,Bachelorette,2012,R,87,Comedy,Leslye Headland,"Leslye Headland (screenplay), Leslye Headland (based on the play by)","Kirsten Dunst, Rebel Wilson, Lizzy Caplan, Paul Corning",Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school.,English,USA,Other Win,53.0,5.3,43912,1,400000.0,Radius-TWC,15.0,small,0
1622,Sleepwalk with Me,2012,PG-13,81,Comedy,"Mike Birbiglia, Seth Barrish(co-director)","Mike Birbiglia (screenplay), Ira Glass (screenplay), Joe Birbiglia (screenplay), Seth Barrish (screenplay), Mike Birbiglia (based on the play ""Sleepwalk With Me"" by)","Mike Birbiglia, Lauren Ambrose, James Rebhorn, Carol Kane","A burgeoning stand-up comedian struggles with the stress of a stalled career, a stale relationship, and the wild spurts of severe sleepwalking he is desperate to ignore.",English,USA,Other Win,71.0,6.8,11220,1,2263436.0,IFC Films,127.0,big,1
1623,Valley of Saints,2012,Not Rated,82,Drama,Musa Syeed,Musa Syeed,"Mohammed Afzal, Gulzar Ahmed Bhat, Neelofar Hamid","War and poverty force Gulzar, a young tourist boatman, to run away from Kashmir with his best friend. But a military crackdown derails their escape, and they become trapped in Gulzar's lake...","Kashmiri, English","India, USA",Other Win,85.0,7.0,166,0,0.0,108 Media/Paladin,1.0,small,1
1624,Kid-Thing,2012,Not Rated,83,Drama,David Zellner,David Zellner,"Sydney Aguirre, Nathan Zellner, David Wingo, Zack Carlson","Annie is girl with no moral compass, thanks to a complete lack of parental supervision. One day, while playing in the woods, a voice calls out to her from deep within an abandoned well, causing her to consider the right course of action.",English,USA,Other Win,58.0,6.4,398,0,0.0,Factory25,3.0,small,0
1625,Goats,2012,R,94,Comedy,Christopher Neil,"Mark Poirier (novel), Mark Poirier (screenplay)","David Duchovny, Vera Farmiga, Graham Phillips, Justin Kirk","As Ellis prepares to leave Tucson for his freshman year at an East Coast prep school, he also faces separating from his flaky, new age mother and the only real father he has ever known: Goat Man.",English,USA,,38.0,5.9,4799,1,0.0,Image Entertainment,6.0,small,0
1627,Price Check,2012,Not Rated,92,Comedy,Michael Walker,Michael Walker,"Eric Mabius, Matt Servitto, Annie Parisse, Finn Donoghue","Peter, a family man who works for a failing supermarket chain finds his life shaken up by his new boss, Susan, who starts to groom him for an executive position. Money and opportunities are within his grasp, but at what price?",English,USA,,67.0,5.4,2070,1,4669.0,IFC Films,127.0,big,1
1628,California Solo,2012,Not Rated,94,Drama,Marshall Lewy,Marshall Lewy,"Robert Carlyle, Danny Masterson, Kathleen Wilhoite, William Russ",A former Britpop rocker who now works on a farm gets caught driving drunk and faces deportation after living in Los Angeles for many years. His efforts to stay in the U.S. force him to confront the past and current demons in his life.,English,USA,Other Win,62.0,6.2,971,1,15328.0,Strand Releasing,13.0,small,1
1629,Man on a Ledge,2012,PG-13,102,Action,Asger Leth,Pablo F. Fenjves,"Sam Worthington, Mandy Gonzalez, William Sadler, Barbara Marineau","As a police psychologist works to talk down an ex-con who is threatening to jump from a Manhattan hotel rooftop, the biggest diamond heist ever committed is in motion.","English, Spanish",USA,Nomination,40.0,6.6,139615,1,18400000.0,Summit Entertainment,33.0,big,0
1630,One for the Money,2012,PG-13,91,Action,Julie Anne Robinson,"Stacy Sherman (screenplay), Karen Ray (screenplay), Liz Brixius (screenplay), Janet Evanovich (novel)","Katherine Heigl, Jason O'Mara, Daniel Sunjata, John Leguizamo","Unemployed and newly-divorced Stephanie Plum lands a job at her cousin's bail-bond business, where her first assignment puts her on the trail of a wanted local cop from her romantic past.",English,USA,Other Win,22.0,5.3,39210,1,26100000.0,Lionsgate Films,48.0,big,0
1632,Darling Companion,2012,PG-13,103,Comedy,Lawrence Kasdan,"Meg Kasdan, Lawrence Kasdan","Diane Keaton, Kevin Kline, Dianne Wiest, Richard Jenkins",The story of a woman who loves her dog more than her husband. And then her husband loses the dog.,English,USA,,41.0,5.1,3150,1,793352.0,Sony Pictures Classics,43.0,big,0
1634,"For a Good Time, Call...",2012,R,85,Comedy,Jamie Travis,"Katie Anne Naylon, Lauren Miller Rogen","Lauren Miller Rogen, James Wolk, Ari Graynor, Justin Long","Former college frenemies Lauren and Katie move into a fabulous Gramercy Park apartment, and in order to make ends meet, the unlikely pair start a phone sex line together.",English,USA,,55.0,6.0,15197,1,1200000.0,Focus Features,61.0,big,0
1637,The Words,2012,PG-13,102,Drama,"Brian Klugman, Lee Sternthal","Brian Klugman, Lee Sternthal","Dennis Quaid, John Hannah, Jeremy Irons, Bradley Cooper",A writer at the peak of his literary success discovers the steep price he must pay for stealing another man's work.,"English, French",USA,Other Win,37.0,7.0,71793,1,11434867.0,CBS Films,17.0,small,0
1638,Why Stop Now?,2012,R,85,Comedy,"Phil Dorling, Ron Nyswaner","Phil Dorling (written for the screen by), Ron Nyswaner (written for the screen by), Phil Dorling (source material: 'Predisposed',  a short film written by), Ron Nyswaner (source material: 'Predisposed',  a short film written by)","Jesse Eisenberg, Melissa Leo, Tracy Morgan, Emma Rayne Lyle","When a college piano prodigy tries to check his mother into rehab, he is taken hostage by her drug dealer and swept along on a wild adventure.","English, Spanish",USA,Nomination,36.0,5.6,7077,1,1641.0,IFC Films,127.0,big,0
1639,"Now, Forager",2012,Not Rated,93,Drama,"Jason Cortlund, Julia Halperin",Jason Cortlund,"Jason Cortlund, Tiffany Esteb, Almex Lee, Gabrielle Maisels","Lucien and Regina are foragers - they gather wild mushrooms and sell them to New York restaurants. They live simply- according to the seasons. When Regina seeks and finds more stability, their marriage is put to a test.",English,"USA, Poland",Other Win,54.0,6.5,189,0,10896.0,Argot Pictures,1.0,small,0
1643,Chronicle,2012,PG-13,84,Drama,Josh Trank,"Max Landis (screenplay), Max Landis (story), Josh Trank (story)","Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly",Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides.,English,USA,Other Win,69.0,7.0,232929,1,60800000.0,20th Century Fox,133.0,big,1
1646,This Means War,2012,PG-13,103,Action,McG,"Timothy Dowling (screenplay), Simon Kinberg (screenplay), Timothy Dowling (story), Marcus Gautesen (story)","Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger",C.I.A. operatives wage an epic battle on each other when they discover they are dating the same woman.,"English, German, Japanese, Serbian",USA,Other Win,31.0,6.3,170405,1,54758461.0,Twentieth Century Fox,4.0,small,0
1651,Welcome to Pine Hill,2012,Not Rated,81,Drama,Keith Miller,"Keith Miller (story), Keith Miller","Shanon Harper, Junior Adolph, Ernest Bastien, Mark Anthony Hackett","A recently reformed drug dealer, now working as a claims adjuster by day and bouncer by night, receives earth-shattering news, compelling to make peace with his past and search for freedom beyond the concrete jungle of New York City.",English,USA,Other Win,74.0,6.1,205,0,3629.0,Oscilloscope Pictures,15.0,small,1
1653,Big Miracle,2012,PG,107,Biography,Ken Kwapis,"Jack Amiel (screenplay), Michael Begler (screenplay), Thomas Rose (book)","John Pingayak, Ahmaogak Sweeney, John Chase, Ishmael Angalook Hope","In small-town Alaska, a news reporter recruits his ex-girlfriend - a Greenpeace volunteer - on a campaign to save a family of gray whales trapped by rapidly forming ice in the Arctic Circle.",English,"USA, UK",Nomination,61.0,6.5,18006,1,20113965.0,Universal Pictures,123.0,big,1
1655,The Girl from the Naked Eye,2012,R,84,Action,David Ren,"Larry Madill (screenplay), David Ren (screenplay), Jason Yee (screenplay)","Jason Yee, Samantha Streets, Ron Yuan, Dominique Swain","When Sandy, a call girl at ""The Naked Eye"", ends up dead, her friend and only ally in the world, Jake, goes on a manhunt to find out who killed her.",English,USA,Other Win,40.0,4.8,1957,1,0.0,Naedomi Media,1.0,small,0
1658,The Vow,2012,PG-13,104,Drama,Michael Sucsy,"Abby Kohn (screenplay), Marc Silverstein (screenplay), Jason Katims (screenplay), Stuart Sender (story)","Rachel McAdams, Channing Tatum, Jessica Lange, Sam Neill","A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again.",English,USA,Other Win,43.0,6.8,177315,1,125014030.0,Sony Pictures,90.0,big,0
1660,Act of Valor,2012,R,110,Action,"Mike McCoy, Scott Waugh",Kurt Johnstad,"Rorke Denver, Dave, Sonny, Weimy",An elite team of Navy SEALs embark on a covert mission to recover a kidnapped CIA agent.,"English, Russian, Spanish",USA,Other Win,40.0,6.5,64497,1,65800000.0,Relativity Media,31.0,big,0
1661,Safe House,2012,R,115,Action,Daniel Espinosa,David Guggenheim,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson","A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.","English, Afrikaans","South Africa, Japan, USA",Other Win,52.0,6.7,196769,1,126149655.0,Universal Pictures,123.0,big,0
1666,Think Like a Man,2012,PG-13,122,Comedy,Tim Story,"Keith Merryman (screenplay), David A. Newman (screenplay), Steve Harvey (book)","Michael Ealy, Jerry Ferrara, Meagan Good, Regina Hall",Four friends conspire to turn the tables on their women when they discover the ladies have been using Steve Harvey's relationship advice against them.,English,USA,Other Win,51.0,6.6,41823,1,91547205.0,Sony Screen Gems,2.0,small,0
1672,Electrick Children,2012,R,96,Drama,Rebecca Thomas,Rebecca Thomas,"Julia Garner, Liam Aiken, Billy Zane, Cynthia Watros","Rachel, a teenager born and raised in her Mormon community, believes that she has been inpregnated by listening to music and must get to Vegas to find the ""father"" of her miracle baby.",English,USA,Other Win,60.0,6.8,5430,0,0.0,Phase 4 Films,18.0,small,0
1673,Highway,2014,Not Rated,133,Crime,Imtiaz Ali,Imtiaz Ali,"Alia Bhatt, Randeep Hooda, Durgesh Kumar, Pradeep Nagar","Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper.","Hindi, English",India,Other Win,40.0,7.6,24269,0,0.0,UTV Motion Pictures,1.0,small,0
1678,Francine,2012,Not Rated,74,Drama,"Brian M. Cassidy, Melanie Shatzky","Brian M. Cassidy, Melanie Shatzky","Melissa Leo, Victoria Charkut, Dave Clark, Keith Leonard","Ex-con Francine has difficulty adjusting to life in a small lakeside town until she begins working with animals, though she finds herself growing increasingly isolated from the community and embracing forms of anti-social behavior.",English,"USA, Canada",Nomination,65.0,5.7,204,0,0.0,Washington Square Films,1.0,small,1
1679,Jayne Mansfield's Car,2012,R,122,Drama,Billy Bob Thornton,"Billy Bob Thornton, Tom Epperson","Robert Duvall, John Hurt, Billy Bob Thornton, Kevin Bacon","Alabama; 1969: The death of a clan's estranged wife and mother brings together two very different families. Do the scars of the past hide differences that will tear them apart, or expose truths that could lead to unexpected collisions?",English,"USA, Russia",Nomination,48.0,6.3,2710,1,14276.0,Anchor Bay Films,13.0,small,0
1681,Good Deeds,2012,PG-13,110,Comedy,Tyler Perry,Tyler Perry (screenplay),"Tyler Perry, Thandie Newton, Gabrielle Union, Eddie Cibrian","Businessman Wesley Deeds is jolted out of his scripted life when he meets Lindsey, a single mother who works on the cleaning crew in his office building.",English,USA,Nomination,43.0,5.5,7141,1,35010192.0,Lionsgate Films,48.0,big,0
1682,Wanderlust,2012,R,98,Comedy,David Wain,"David Wain, Ken Marino","Paul Rudd, Jennifer Aniston, Justin Theroux, Alan Alda","Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",English,USA,,53.0,5.6,70347,1,17255675.0,Universal Pictures,123.0,big,0
1683,Una noche,2012,Not Rated,90,Drama,Lucy Mulloy,Lucy Mulloy,"Dariel Arrechaga, Anailín de la Rúa de la Torre, Javier Núñez Florián, María Adelaida Méndez Bonet","In Havana, Raul dreams of escaping to Miami. Accused of assault, he appeals to Elio to help him reach the forbidden world 90 miles across the ocean. One night, full of hope, they face the biggest challenge of their lives.",Spanish,"USA, UK",Other Win,68.0,6.7,1748,1,43419.0,IFC Films,127.0,big,1
1684,Into the Woods,2014,PG,125,Adventure,Rob Marshall,"James Lapine (screenplay by), James Lapine (based on the musical by)","Anna Kendrick, Daniel Huttlestone, James Corden, Emily Blunt",A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,English,USA,Oscar Win,69.0,5.9,126630,1,89789227.0,Walt Disney Pictures,68.0,big,1
1685,ATM,2012,R,90,Horror,David Brooks,"Chris Sparling (screenplay), Chris Sparling (story), Ron Tippe (story)","Brian Geraghty, Alice Eve, Josh Peck, Mike O'Brian","On a late night visit to an ATM, three co-workers end up in a desperate fight for their lives when they become trapped by an unknown man.",English,"USA, Canada",,34.0,4.7,22031,1,2034.0,IFC Films,127.0,big,0
1691,Gone,2012,PG-13,94,Action,Heitor Dhalia,Allison Burnett,"Amanda Seyfried, Daniel Sunjata, Jennifer Carpenter, Sebastian Stan",A woman is convinced her kidnapper has returned when her sister goes missing.,English,USA,,36.0,5.9,40180,1,11400000.0,Summit Entertainment,33.0,big,0
1692,John Carter,2012,PG-13,132,Action,Andrew Stanton,"Andrew Stanton (screenplay by), Mark Andrews (screenplay by), Michael Chabon (screenplay by), Edgar Rice Burroughs (based on the story ""A Princess of Mars"" by)","Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",English,USA,Other Win,51.0,6.6,246532,1,73058679.0,Walt Disney Pictures,68.0,big,0
1698,About Cherry,2012,R,98,Drama,Stephen Elliott,"Stephen Elliott, Lorelei Lee","Ashley Hinshaw, Lili Taylor, Dev Patel, Diane Farr","A troubled young woman moves to San Francisco, where she becomes involved in pornography and aligns herself with a cocaine-addicted lawyer.",English,USA,,33.0,4.8,9349,1,2760.0,IFC Films,127.0,big,0
1699,The Lorax,2012,PG,86,Animation,"Chris Renaud, Kyle Balda(co-director)","Dr. Seuss (based on the book by), Cinco Paul (screenplay by), Ken Daurio (screenplay by)","Danny DeVito, Ed Helms, Zac Efron, Taylor Swift","A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",English,"USA, France",Other Win,46.0,6.4,92374,1,211000000.0,Warner Bros.,23.0,small,0
